UPLCODIGO,LOCNOMBRE,UPLNOMBRE,Localidad,delta_petro_1v_pp,delta_petro_2v_pp,sit_vs_1v22,sit_vs_2v22,votos_petro_1v22,votos_cepeda_1v26
UPR1,SUBA,UPR ZONA NORTE,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPR3,CIUDAD BOLIVAR,UPR RIO TUNJUELO,,,,,,,
UPR4,SUMAPAZ,UPR RIO BLANCO,SUMAPAZ,-0.03,-0.07200000000000001,🌸 Más votos que Petro 1v,🌸 Más votos que Petro 2v,1409.0,1664.0
UPR5,SUMAPAZ,UPR RIO SUMAPAZ,SUMAPAZ,-0.03,-0.07200000000000001,🌸 Más votos que Petro 1v,🌸 Más votos que Petro 2v,1409.0,1664.0
UPZ1,USAQUEN,PASEO DE LOS LIBERTADORES,,,,,,,
UPZ10,USAQUEN,LA URIBE,,,,,,,
UPZ100,TEUSAQUILLO,GALERIAS,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ101,TEUSAQUILLO,TEUSAQUILLO,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ102,LOS MARTIRES,LA SABANA,,,,,,,
UPZ103,BARRIOS UNIDOS,PARQUE SALITRE,BARRIOS UNIDOS,-0.05599999999999999,-0.173,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,35529.0,31679.0
UPZ104,TEUSAQUILLO,PARQUE SIMON BOLIVAR - CAN,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ105,ENGATIVA,JARDIN BOTANICO,,,,,,,
UPZ106,TEUSAQUILLO,LA ESMERALDA,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ107,TEUSAQUILLO,QUINTA PAREDES,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ108,PUENTE ARANDA,ZONA INDUSTRIAL,PUENTE ARANDA,-0.069,-0.185,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,62359.0,54917.0
UPZ109,TEUSAQUILLO,CIUDAD SALITRE ORIENTAL,TEUSAQUILLO,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,69237.0,38358.0
UPZ11,USAQUEN,SAN CRISTOBAL NORTE,,,,,,,
UPZ110,FONTIBON,CIUDAD SALITRE OCCIDENTAL,FONTIBON,-0.066,-0.194,🌸 Más votos que Petro 1v,🔴 Menos votos que Petro 2v,81083.0,81092.0
UPZ111,PUENTE ARANDA,PUENTE ARANDA,PUENTE ARANDA,-0.069,-0.185,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,62359.0,54917.0
UPZ112,FONTIBON,GRANJAS DE TECHO,FONTIBON,-0.066,-0.194,🌸 Más votos que Petro 1v,🔴 Menos votos que Petro 2v,81083.0,81092.0
UPZ113,KENNEDY,BAVARIA,KENNEDY,-0.063,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,237243.0,228375.0
UPZ114,FONTIBON,MODELIA,FONTIBON,-0.066,-0.194,🌸 Más votos que Petro 1v,🔴 Menos votos que Petro 2v,81083.0,81092.0
UPZ115,FONTIBON,CAPELLANIA,FONTIBON,-0.066,-0.194,🌸 Más votos que Petro 1v,🔴 Menos votos que Petro 2v,81083.0,81092.0
UPZ116,ENGATIVA,ALAMOS,,,,,,,
UPZ12,USAQUEN,TOBERIN,,,,,,,
UPZ13,USAQUEN,LOS CEDROS,,,,,,,
UPZ14,USAQUEN,USAQUEN,,,,,,,
UPZ15,USAQUEN,COUNTRY CLUB,,,,,,,
UPZ16,USAQUEN,SANTA BARBARA,,,,,,,
UPZ17,SUBA,SAN JOSE DE BAVARIA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ18,SUBA,BRITALIA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ19,SUBA,EL PRADO,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ20,SUBA,LA ALHAMBRA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ21,BARRIOS UNIDOS,LOS ANDES,BARRIOS UNIDOS,-0.05599999999999999,-0.173,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,35529.0,31679.0
UPZ22,BARRIOS UNIDOS,DOCE DE OCTUBRE,BARRIOS UNIDOS,-0.05599999999999999,-0.173,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,35529.0,31679.0
UPZ23,SUBA,CASA BLANCA SUBA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ24,SUBA,NIZA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ25,SUBA,LA FLORESTA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ26,ENGATIVA,LAS FERIAS,,,,,,,
UPZ27,SUBA,SUBA,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ28,SUBA,EL RINCON,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ29,ENGATIVA,MINUTO DE DIOS,,,,,,,
UPZ3,SUBA,GUAYMARAL,SUBA,-0.05,-0.169,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,206995.0,202720.0
UPZ30,ENGATIVA,BOYACA REAL,,,,,,,
UPZ31,ENGATIVA,SANTA CECILIA,,,,,,,
UPZ32,SAN CRISTOBAL,SAN BLAS,,,,,,,
UPZ33,SAN CRISTOBAL,SOSIEGO,,,,,,,
UPZ34,SAN CRISTOBAL,20 DE JULIO,,,,,,,
UPZ35,ANTONIO NARIÑO,CIUDAD JARDIN,ANTONIO NARIÑO,-0.07200000000000001,-0.188,🔴 Menos votos que Petro 1v,🔴 Menos votos que Petro 2v,32063.0,27241.0
