UPLCODIGO,UPLNOMBRE,LOCNOMBRE,CAN,CANNOMBRE,PAR,PARNOMBRE,VOTOS,TOTAL_UPZ,PORCENTAJE
UPR1,UPR ZONA NORTE,SUBA,1,IVÃN CEPEDA CASTRO,26,MOVIMIENTO POLÃTICO PACTO HISTÃ“RICO,1094,3436,31.84
UPR1,UPR ZONA NORTE,SUBA,2,CLAUDIA LÃ“PEZ,1004,CON CLAUDIA IMPARABLES,54,3436,1.57
UPR1,UPR ZONA NORTE,SUBA,3,RAÃšL SANTIAGO BOTERO JARAMILLO,1001,ROMPER EL SISTEMA,12,3436,0.35
UPR1,UPR ZONA NORTE,SUBA,4,ABELARDO DE LA ESPRIELLA,1003,DEFENSORES DE LA PATRIA,1629,3436,47.41
UPR1,UPR ZONA NORTE,SUBA,5,Ã“SCAR MAURICIO LIZCANO ARANGO,3001,COALICIÃ“N F.A.M.I.L.I.A,2,3436,0.06
UPR1,UPR ZONA NORTE,SUBA,6,MIGUEL URIBE LONDOÃ‘O,20,PARTIDO DEMÃ“CRATA COLOMBIANO,2,3436,0.06
UPR1,UPR ZONA NORTE,SUBA,7,SONDRA MACOLLINS GARVIN PINTO,1002,"SONDRA MACOLLINS, LA ABOGADA DE HIERRO",1,3436,0.03
UPR1,UPR ZONA NORTE,SUBA,10,GUSTAVO MATAMOROS CAMACHO,21,PARTIDO ECOLOGISTA COLOMBIANO,1,3436,0.03
UPR1,UPR ZONA NORTE,SUBA,11,PALOMA VALENCIA LASERNA,9,PARTIDO CENTRO DEMOCRÃTICO,390,3436,11.35
UPR1,UPR ZONA NORTE,SUBA,12,SERGIO FAJARDO VALDERRAMA,15,PARTIDO POLÃTICO DIGNIDAD & COMPROMISO,250,3436,7.28
UPR1,UPR ZONA NORTE,SUBA,13,LUIS GILBERTO MURILLO URRUTIA,1005,LA OPORTUNIDAD ES COLOMBIA,1,3436,0.03
UPR3,UPR RIO TUNJUELO,CIUDAD BOLIVAR,1,IVÃN CEPEDA CASTRO,26,MOVIMIENTO POLÃTICO PACTO HISTÃ“RICO,3150,4903,64.25
UPR3,UPR RIO TUNJUELO,CIUDAD BOLIVAR,2,CLAUDIA LÃ“PEZ,1004,CON CLAUDIA IMPARABLES,127,4903,2.59
UPR3,UPR RIO TUNJUELO,CIUDAD BOLIVAR,3,RAÃšL SANTIAGO BOTERO JARAMILLO,1001,ROMPER EL SISTEMA,84,4903,1.71
UPR3,UPR RIO TUNJUELO,CIUDAD BOLIVAR,4,ABELARDO DE LA ESPRIELLA,1003,DEFENSORES DE LA PATRIA,1121,4903,22.86
