UPLCODIGO,UPLNOMBRE,LOCNOMBRE,TOTAL_VOTOS,GANADOR,VOTOS_GANADOR,PCT_GANADOR,SEGUNDO,VOTOS_SEGUNDO,PCT_SEGUNDO,DIFERENCIA_VOTOS,MARGEN_AJUSTADO,CATEGORIA
UPZ85,BOSA CENTRAL,BOSA,147589,IVÁN CEPEDA CASTRO,85431,57.88,ABELARDO DE LA ESPRIELLA,40681,27.56,44750,30.32,Seguro
UPZ28,EL RINCON,SUBA,120856,IVÁN CEPEDA CASTRO,55868,46.23,ABELARDO DE LA ESPRIELLA,43412,35.92,12456,10.31,Competido
UPZ71,TIBABUYES,SUBA,114757,IVÁN CEPEDA CASTRO,56823,49.52,ABELARDO DE LA ESPRIELLA,38374,33.44,18449,16.08,Competido
UPZ73,GARCES NAVAS,ENGATIVA,87152,ABELARDO DE LA ESPRIELLA,35039,40.2,IVÁN CEPEDA CASTRO,34045,39.06,994,1.14,Empate técnico
UPZ13,LOS CEDROS,USAQUEN,86499,ABELARDO DE LA ESPRIELLA,48362,55.91,IVÁN CEPEDA CASTRO,15532,17.96,32830,37.95,Seguro
UPZ75,FONTIBON,FONTIBON,86182,IVÁN CEPEDA CASTRO,37009,42.94,ABELARDO DE LA ESPRIELLA,33092,38.4,3917,4.55,Empate técnico
UPZ30,BOYACA REAL,ENGATIVA,84097,ABELARDO DE LA ESPRIELLA,34906,41.51,IVÁN CEPEDA CASTRO,31923,37.96,2983,3.55,Empate técnico
UPZ27,SUBA,SUBA,83383,ABELARDO DE LA ESPRIELLA,33802,40.54,IVÁN CEPEDA CASTRO,32618,39.12,1184,1.42,Empate técnico
UPZ82,PATIO BONITO,KENNEDY,79890,IVÁN CEPEDA CASTRO,41596,52.07,ABELARDO DE LA ESPRIELLA,26003,32.55,15593,19.52,Competido
UPZ69,ISMAEL PERDOMO,CIUDAD BOLIVAR,72152,IVÁN CEPEDA CASTRO,41846,58.0,ABELARDO DE LA ESPRIELLA,19768,27.4,22078,30.6,Seguro
